Instance_ID,Class
31,Sydney
32,Sydney
33,Sydney
34,Brisbane
35,Perth
36,Brisbane
37,Brisbane
38,Brisbane
39,Sydney
310,Sydney
311,Sydney
312,Brisbane
313,Perth
314,Sydney
315,Brisbane
316,Perth
317,Melbourne
318,Melbourne
319,Sydney
320,Brisbane
321,Brisbane
322,Brisbane
323,Brisbane
324,Sydney
325,Melbourne
326,Sydney
327,Sydney
328,Brisbane
329,Sydney
330,Brisbane
331,Melbourne
332,Perth
333,Sydney
334,Perth
335,Sydney
336,Perth
337,Perth
338,Melbourne
339,Sydney
340,Brisbane
341,Sydney
342,Sydney
343,Melbourne
344,Brisbane
345,Melbourne
346,Perth
347,Brisbane
348,Brisbane
349,Perth
350,Brisbane
351,Perth
352,Perth
353,Melbourne
354,Sydney
355,Brisbane
356,Brisbane
357,Perth
358,Brisbane
359,Perth
360,Sydney
361,Melbourne
362,Melbourne
363,Perth
364,Sydney
365,Melbourne
366,Perth
367,Sydney
368,Sydney
369,Sydney
370,Brisbane
371,Melbourne
372,Sydney
373,Brisbane
374,Sydney
375,Melbourne
376,Sydney
377,Brisbane
378,Perth
379,Sydney
380,Brisbane
381,Melbourne
382,Melbourne
383,Melbourne
384,Brisbane
385,Sydney
386,Melbourne
387,Melbourne
388,Melbourne
389,Melbourne
390,Perth
391,Perth
392,Sydney
393,Brisbane
394,Melbourne
395,Perth
396,Melbourne
397,Sydney
398,Brisbane
399,Melbourne
3100,Sydney
3101,Melbourne
3102,Melbourne
3103,Brisbane
3104,Brisbane
3105,Brisbane
3106,Sydney
3107,Brisbane
3108,Sydney
3109,Perth
3110,Melbourne
3111,Perth
3112,Melbourne
3113,Brisbane
3114,Perth
3115,Brisbane
3116,Melbourne
3117,Sydney
3118,Perth
3119,Brisbane
3120,Perth
3121,Melbourne
3122,Brisbane
3123,Perth
3124,Sydney
3125,Brisbane
3126,Sydney
3127,Sydney
3128,Melbourne
3129,Brisbane
3130,Sydney
3131,Perth
3132,Sydney
3133,Brisbane
3134,Brisbane
3135,Sydney
3136,Brisbane
3137,Sydney
3138,Melbourne
3139,Perth
3140,Sydney
3141,Perth
3142,Sydney
3143,Perth
3144,Melbourne
3145,Sydney
3146,Sydney
3147,Sydney
3148,Brisbane
3149,Brisbane
3150,Brisbane
3151,Brisbane
3152,Sydney
3153,Brisbane
3154,Sydney
3155,Perth
3156,Brisbane
3157,Brisbane
3158,Sydney
3159,Brisbane
3160,Sydney
3161,Sydney
3162,Perth
3163,Sydney
3164,Brisbane
3165,Melbourne
3166,Perth
3167,Melbourne
3168,Perth
3169,Melbourne
3170,Brisbane
3171,Melbourne
3172,Melbourne
3173,Melbourne
3174,Sydney
3175,Brisbane
