Instance_ID,Class
31,Sydney
32,Sydney
33,Sydney
34,Brisbane
35,Brisbane
36,Brisbane
37,Sydney
38,Brisbane
39,Sydney
310,Sydney
311,Sydney
312,Brisbane
313,Sydney
314,Melbourne
315,Brisbane
316,Brisbane
317,Melbourne
318,Melbourne
319,Sydney
320,Brisbane
321,Sydney
322,Brisbane
323,Sydney
324,Perth
325,Sydney
326,Sydney
327,Sydney
328,Brisbane
329,Sydney
330,Brisbane
331,Brisbane
332,Brisbane
333,Sydney
334,Brisbane
335,Perth
336,Brisbane
337,Brisbane
338,Perth
339,Brisbane
340,Brisbane
341,Brisbane
342,Sydney
343,Melbourne
344,Brisbane
345,Melbourne
346,Brisbane
347,Sydney
348,Sydney
349,Brisbane
350,Brisbane
351,Brisbane
352,Brisbane
353,Perth
354,Melbourne
355,Brisbane
356,Brisbane
357,Brisbane
358,Brisbane
359,Sydney
360,Sydney
361,Brisbane
362,Perth
363,Brisbane
364,Sydney
365,Brisbane
366,Perth
367,Sydney
368,Sydney
369,Sydney
370,Brisbane
371,Brisbane
372,Sydney
373,Brisbane
374,Sydney
375,Melbourne
376,Sydney
377,Brisbane
378,Brisbane
379,Sydney
380,Brisbane
381,Brisbane
382,Melbourne
383,Melbourne
384,Brisbane
385,Sydney
386,Sydney
387,Sydney
388,Perth
389,Sydney
390,Brisbane
391,Brisbane
392,Sydney
393,Brisbane
394,Melbourne
395,Brisbane
396,Melbourne
397,Melbourne
398,Brisbane
399,Sydney
3100,Sydney
3101,Perth
3102,Sydney
3103,Brisbane
3104,Brisbane
3105,Sydney
3106,Brisbane
3107,Brisbane
3108,Sydney
3109,Brisbane
3110,Melbourne
3111,Perth
3112,Brisbane
3113,Brisbane
3114,Brisbane
3115,Brisbane
3116,Perth
3117,Sydney
3118,Brisbane
3119,Brisbane
3120,Brisbane
3121,Melbourne
3122,Brisbane
3123,Brisbane
3124,Sydney
3125,Brisbane
3126,Melbourne
3127,Brisbane
3128,Brisbane
3129,Brisbane
3130,Sydney
3131,Brisbane
3132,Brisbane
3133,Perth
3134,Brisbane
3135,Perth
3136,Brisbane
3137,Brisbane
3138,Brisbane
3139,Brisbane
3140,Sydney
3141,Brisbane
3142,Sydney
3143,Brisbane
3144,Melbourne
3145,Sydney
3146,Brisbane
3147,Sydney
3148,Brisbane
3149,Sydney
3150,Brisbane
3151,Brisbane
3152,Brisbane
3153,Brisbane
3154,Sydney
3155,Brisbane
3156,Brisbane
3157,Brisbane
3158,Sydney
3159,Brisbane
3160,Sydney
3161,Brisbane
3162,Melbourne
3163,Sydney
3164,Brisbane
3165,Brisbane
3166,Melbourne
3167,Sydney
3168,Perth
3169,Brisbane
3170,Sydney
3171,Perth
